GZ1,Acquired data,1,5
RI,LALS,RALS,DP,IP
-0.279546231031418,189.050028483072907,192.133199055989593,10.015473365783691,42.292218526204429
-0.279491884013017,189.050196329752595,192.133626302083343,10.015742937723795,42.292219797770180
-0.278203939398130,189.050532023111970,192.134496053059905,10.010856310526529,42.292264302571617
-0.279050004978975,189.050893147786468,192.135462443033845,10.011586507161459,42.292302449544273
-0.278695568442345,189.051264444986970,192.136459350585938,10.012819608052572,42.292514801025391
-0.278274993101756,189.051661173502595,192.137430826822907,10.011123021443685,42.292896270751953
-0.275920522709688,189.051966349283845,192.137898763020843,10.009873072306315,42.293149312337242
-0.276333163181941,189.052098592122405,192.137827555338532,10.010726610819498,42.293106079101562
-0.276611628631751,189.052296956380218,192.137761433919280,10.013822873433432,42.292756398518883
-0.276924605170886,189.052429199218750,192.137730916341155,10.016856511433920,42.292475382486977
-0.278169937431812,189.052525838216155,192.137695312500000,10.018133163452148,42.292489369710289
-0.278982460498810,189.052698771158845,192.137725830078125,10.013776461283365,42.292405446370445
-0.281561849017938,189.052729288736970,192.137827555338532,10.013009707132975,42.291962941487633
-0.282240701218446,189.052729288736970,192.137893676757812,10.014719645182291,42.291461944580078
-0.281420057018598,189.052597045898438,192.137929280598968,10.012053171793619,42.291739145914711
-0.279366013904413,189.052495320638030,192.137959798177093,10.012646357218424,42.292411804199219
-0.277278413375219,189.052363077799470,192.137959798177093,10.012236595153809,42.292861938476562
-0.275924054284890,189.052261352539062,192.137964884440095,10.008999824523926,42.292915344238281
-0.276436328887939,189.052164713541657,192.137995402018220,10.006403287251791,42.292839050292969
-0.277148875097434,189.052230834960938,192.138193766276032,10.008042971293131,42.292905171712242
-0.278394706547260,189.052327473958343,192.138295491536468,10.007806460062662,42.293028513590492
-0.277407015363375,189.052225748697907,192.137730916341155,10.009483019510904,42.293111165364586
-0.277852691709995,189.051996866861970,192.136830647786468,10.014503161112467,42.293252309163414
-0.276764720678329,189.051793416341155,192.135828653971345,10.016309738159180,42.293566385904946
-0.276677610973517,189.051457722981780,192.134826660156250,10.017639478047689,42.293885548909508
-0.276289954781532,189.051025390625000,192.133895874023438,10.016266504923502,42.293958028157554
-0.278502476712068,189.050857543945312,192.133626302083343,10.016249656677246,42.293712615966797
-0.280347990492980,189.050862630208343,192.133961995442718,10.014546712239584,42.293248494466148
-0.282960275808970,189.050893147786468,192.134195963541657,10.010706265767416,42.293057759602867
-0.285072656969229,189.050928751627595,192.134394327799470,10.007473309834799,42.293076833089195
-0.286118830243746,189.050994873046875,192.134658813476562,10.004179636637369,42.292826334635414
-0.287364505231380,189.050999959309905,192.134699503580720,10.002282778422037,42.292214711507164
-0.287309820453326,189.050994873046875,192.134724934895843,9.999839782714844,42.291970570882164
-0.287122594813506,189.050928751627595,192.134796142578125,10.000696500142416,42.292475382486977
-0.285068057477474,189.050959269205720,192.134826660156250,10.001926422119141,42.293149312337242
-0.283913791179657,189.050959269205720,192.134796142578125,10.000959396362305,42.293498992919922
-0.282859516640504,189.050999959309905,192.134796142578125,10.000596682230631,42.293498992919922
-0.282038554549217,189.050994873046875,192.134730021158845,10.003813107808432,42.293458302815758
